state,cut_2016-01,cut_2016-02,cut_2016-03,cut_2016-04,cut_2016-05,cut_2016-06,cut_2016-07,cut_2016-08,cut_2016-09,cut_2016-10,cut_2016-11,cut_2016-12,cutavg2016,cut_2017-01,cut_2017-02,cut_2017-03,cut_2017-04,cut_2017-05,cut_2017-06,cut_2017-07,cut_2017-08,cut_2017-09,cut_2017-10,cut_2017-11,cut_2017-12,cutavg2017,cut_2018-01,cut_2018-02,cut_2018-03,cut_2018-04,cut_2018-05,cut_2018-06,cut_2018-07,cut_2018-08,cut_2018-09,cut_2018-10,cut_2018-11,cut_2018-12,cutavg2018
California,3.074102074,2.985074627,3.031221582,2.972518228,3,2.927580894,2.865329513,2.782608696,2.857142857,2.865329513,2.858776444,2.766336245,2.913994229,2.857142857,2.857142857,2.816266335,2.782931354,2.829379823,2.777777778,2.75,2.671755725,2.661126962,2.63227165,2.588836744,2.586206897,2.732500266,2.678571429,2.649006623,2.63227165,2.580645161,2.597402597,2.608695652,2.597402597,2.564760195,2.585786307,2.660989888,2.606129474,2.542803865,2.608424226
Texas,3.076923077,3.076923077,3.03030303,2.898550725,2.898550725,2.857142857,2.785388128,2.857142857,2.847451355,2.857142857,2.782608696,2.857959417,2.90052939,2.857142857,2.78551532,2.777777778,2.678571429,2.666666667,2.63227165,2.598077423,2.604166667,2.564102564,2.631578947,2.551020408,2.611363728,2.66163993,2.667377967,2.654867257,2.542372881,2.526847757,2.544529262,2.500625156,2.534818942,2.499512498,2.461538462,2.507033622,2.451225613,2.488715717,2.530817214
New York,4.255319149,4.138682293,4.032258065,3.982300885,3.921568627,3.973799127,4.00160064,4.006677796,4.071067837,4.166666667,4.053333333,4.4,4.081566564,4.242424242,4.083299306,4.008016032,4.00016,4.00080016,4,4,4.003202562,4.006761269,3.980029309,4.04040404,4.258359531,4.0509273,4.137931034,4.050632911,4.004672229,3.849114704,3.848620974,3.846153846,3.849114704,3.849114704,3.855421687,3.861003861,3.85026738,4,3.915623014
Florida,3.345724907,3.333888981,3.232323232,3.134796238,3.04730475,3.032140691,2.914285714,2.941176471,2.883435583,2.942907593,2.985074627,3.061849357,3.067555886,3.03030303,3,2.941176471,2.858776444,2.794857462,2.75322051,2.740476843,2.7100271,2.778549597,2.779321845,2.704164413,2.779321845,2.82056749,2.811851293,2.779321845,2.778549597,2.732092629,2.632964718,2.571041949,2.608695652,2.53164557,2.528793075,2.63227165,2.615384615,2.704164413,2.658907088
Illinois,3.572704537,3.35483871,3.35483871,3.160390001,3.101649907,3.094873398,3.107998655,3.156317253,3.126954346,3.175927021,3.23843704,3.586206897,3.248342057,3.258064516,3.032140691,3.03099191,2.949852507,2.995780591,2.949852507,2.941176471,3.030486696,2.968239834,2.942041777,2.942907593,3.175611305,3.016586655,3.076923077,3.003754693,2.941176471,2.857959417,2.857959417,2.877697842,2.91403594,2.861230329,2.859185132,2.889691581,2.942907593,3.125976868,2.932785367
Pennsylvania,4.003202562,3.847633705,3.636363636,3.576537911,3.533568905,3.578131286,3.623188406,3.706449222,3.573981415,3.571441327,3.773243569,4.00160064,3.69870379,3.847633705,3.706449222,3.450655625,3.428571429,3.368421053,3.428019589,3.548387097,3.634544848,3.50877193,3.449465333,3.572704537,3.849114704,3.562721275,3.633061527,3.53024241,3.552941176,3.428571429,3.449465333,3.460207612,3.450655625,3.510157525,3.55987055,3.517241379,3.554650215,3.795577086,3.535609655
Ohio,4.1829593,4.109589041,3.871829105,3.743850267,3.706449222,3.706449222,3.638554217,3.77213241,3.846153846,3.891050584,3.983868441,4.458598726,3.902822408,4.060913706,3.846153846,3.777777778,3.682182334,3.64298725,3.598971722,3.582089552,3.610108303,3.573981415,3.636363636,3.784130506,4.174894688,3.743056141,3.940110323,3.861003861,3.700694338,3.514569257,3.513513514,3.509387612,3.50877193,3.472222222,3.505375294,3.51000351,3.461138289,3.633491311,3.5910688
Michigan,4.445432318,4.527162978,4.434782609,4.06504065,4.001143184,4.006677796,4.001943831,4.00160064,4.00160064,4,4.12979351,4.415584416,4.164185547,4.160832333,4.012345679,3.849114704,4,3.802366211,3.846153846,3.846153846,3.73280943,3.76146789,3.706449222,3.822681455,4.082049231,3.882773161,4,3.924050633,3.884615385,3.717472119,3.684210526,3.706449222,3.749759374,3.618817853,3.607323463,3.637024914,3.573981415,3.777777778,3.737936489
Georgia,3.448275862,3.334444815,3.250883392,3.104813503,3.03030303,3.032140691,2.971428571,3.055701908,3.070366663,3.144654088,3.11634349,3.220842909,3.145545779,3.162561605,3.031221582,2.857959417,2.828521901,2.826455625,2.777777778,2.769838251,2.750764101,2.816901408,2.857687179,2.819438716,2.763301951,2.852932001,2.962332783,2.756887345,2.743937478,2.666666667,2.63227165,2.666666667,2.684563758,2.675172343,2.70343336,2.702702703,2.567979909,2.666880025,2.700966193
North Carolina,3.299203641,3.333333333,3.134796238,3.003754693,2.978723404,3.031221582,3.003754693,3.039513678,3.032140691,3.158726199,3.095029697,3.190883191,3.106415856,3.076923077,2.914285714,2.84426922,2.82187326,2.830188679,2.850287658,2.805611222,2.822436584,2.800925926,2.829665619,2.708513196,2.779321845,2.839127783,2.779321845,2.779321845,2.667377967,2.682926829,2.631855985,2.682926829,2.752293578,2.723735409,2.719004816,2.735243134,2.5,2.536715621,2.681183984
New Jersey,4.25389755,4.159292035,3.849114704,3.678929766,3.618817853,3.684210526,3.658536585,3.718686556,3.765690377,3.849372385,4,4.540901503,3.888909125,4.212260608,3.964757709,3.830470641,3.597122302,3.572704537,3.573981415,3.592542065,3.705075954,3.636694275,3.601286174,3.717995319,4.246631278,3.76400725,4.051172708,3.75,3.676228557,3.573981415,3.517263633,3.509387612,3.433476395,3.497639913,3.472630959,3.502501787,3.5330888,3.855421687,3.610200372
Virginia,3.125976868,3.088497689,2.858309514,2.739726027,2.777993831,2.717391304,2.704164413,2.756756757,2.805611222,2.78551532,2.78551532,3.060915275,2.846947953,3.057554889,2.877697842,2.72622794,2.629016553,2.594324307,2.581311306,2.564395156,2.580290327,2.539369069,2.564102564,2.571003934,2.702739227,2.661675463,2.756756757,2.652474191,2.606656524,2.500625156,2.5,2.501250625,2.507780604,2.487804878,2.512562814,2.607449857,2.546312178,2.569947425,2.561313996
Washington,3.226326827,3.333333333,3.268845897,3.278688525,3.190883191,3.244605493,3.140625,3.177776049,3.104813503,3.21917477,3.232323232,3.366065527,3.231166042,3.273755717,3.076923077,3.17180863,3.110642288,3.126954346,3.131179136,3.125195325,3.164556962,3.019410496,2.985074627,2.896797026,3.048780488,3.092823163,2.933909326,2.894736842,2.942041777,2.985074627,3.076923077,3.031777601,2.985074627,3.00030003,3.03030303,2.985074627,2.857551079,2.912815534,2.969011126
Massachusetts,3.22684737,3.227541689,3.132775651,3.157894737,3.226326827,3.227888961,3.226222738,3.22684737,3.237477816,3.151515152,3.173278215,3.452443529,3.221339441,3.334074239,3.2,3.333333333,3.134796238,3.226014582,3.151515152,3.125976868,3.142131213,3.174603175,3.174603175,2.986053419,3.246753247,3.184524331,3.125981754,3.14808462,3.190486549,3.160945439,3.126954346,3.078699364,3.037205965,3.077870114,3.040475353,3.087478559,2.914285714,3.174855167,3.096065448
Indiana,3.529411765,3.340758274,3.335557038,3.412969283,3.301433811,3.333333333,3.22684737,3.258064516,3.334444815,3.335557038,3.497769243,3.706449222,3.382016517,3.335186215,3.334444815,3.127753304,3.060784659,3.125,3.032140691,3.06441526,3.032140691,2.942907593,3.001107141,2.923976608,3.199806399,3.095672997,3.032140691,3.126954346,3.00031506,3.076923077,3.125,3.125,3.011292873,3.032140691,3.03030303,2.928720861,2.942907593,2.971428571,3.032880008
Arizona,2.317392067,2.339256453,2.325586804,2.181818182,2.150537634,2.105263158,2.00080032,2.083333333,1.96155355,2.008928571,2,1.883530473,2.108147418,2.041649653,2.117226858,2.127659574,2.041649653,2,1.927525058,1.884057971,1.873864658,1.851851852,1.897922544,1.785714286,1.734701861,1.936576551,1.926782274,2.004182657,1.961176471,1.960784314,1.818181818,1.815487217,1.785714286,1.755001755,1.755001755,1.817575657,1.677852349,1.538366864,1.813433699
Tennessee,3.50877193,3.387133439,3.225806452,3.227888961,3.159975036,3.127753304,3.048780488,3.126954346,3.076923077,3.225806452,3.174603175,3.389830508,3.220655057,3.333333333,3.043478261,3.031221582,3.020134228,2.942907593,3.032140691,2.942041777,2.941176471,2.971497878,2.913187027,2.858776444,2.884049441,2.990608901,2.972972973,2.857619129,2.857142857,2.723124249,2.739726027,2.759701336,2.7100271,2.711765776,2.704164413,2.643018685,2.564760195,2.579535684,2.733018773
