"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
9,"California",1,199800,199500,199200,198900,198600,198500,198600,198900,199500,200300,201000,201500,202000,202600,203300,204100,205000,206000,207200,208400,210100,212000,213700,215200,216700,218200,219800,221200,222700,224100,225500,227000,228700,230500,232400,234100,236000,237900,240000,242200,244600,247100,249800,252800,256000,259500,262800,265900,268900,271800,274600,277300,280000,282500,285000,287600,290300,293200,296100,299100,302000,304900,307700,310500,313200,316000,319000,322000,325200,328600,332200,335700,339400,343300,347500,352000,356800,361700,366700,371900,377000,381800,386500,391200,396200,401300,406600,412200,418200,424500,431200,438200,445500,453300,461600,470800,480900,491700,503100,514300,524900,534700,544000,552600,561100,569300,577100,584900,592500,599600,606300,612500,618000,622900,627300,630900,634100,636900,639200,641500,643200,644300,644400,643300,640600,637300,634000,630600,627400,624600,621300,617300,612700,607600,601900,595100,587000,578600,570100,561200,552000,542700,532400,521400,509700,498300,487600,478400,471200,465200,459500,453900,448800,444000,438800,433000,426700,420200,414900,412300,411700,412100,413200,414400,415300,416200,417000,416700,416900,417800,417500,415600,413700,411300,408600,405900,402800,399400,397000,395100,392800,390300,388200,386400,384500,382000,379800,378400,377600,376700,376700,378300,380700,383300,386000,388800,391400,394700,398800,403500,408300,413000,418400,425700,433900,442600,451400,459100,465300,470300,474000,476900,479800,482800,485800,488900,491900,494800,497600,500000,501900,503800,506200,508500,510900,514000,517600,520900,523700,526800,530400,533500,535900,538900,541800,544500,547700,551100,553500,555700,558400,560900,563200,566100,569600,573300,576900,580700,584300,587600,590500,593300,596400,600000,603600,606700,609900,613300,616300,619100,622800,627800,632700,635200,636300,637900,639800,641300,642500,643300,644300,645300,645800,646100
54,"Texas",2,153300,153200,153200,153300,153500,153600,153700,153600,153400,153200,153000,153000,153300,153800,154400,155100,155700,156400,157100,158000,159100,160200,161200,161900,162200,162200,162200,162000,161900,162000,162300,163000,164100,165400,166700,167800,168700,169400,170000,170700,171600,172800,174300,175900,177800,179800,181700,183200,184000,184000,183300,182300,181200,180200,179400,178600,177900,177200,176300,175400,174500,173800,173300,172900,172700,172600,172500,172300,172000,171700,171500,171400,171500,172100,172800,173500,174100,174600,174800,174900,174700,174500,174400,174300,174400,174600,174900,175200,175500,175700,175800,176100,176600,177500,178800,180300,181900,183300,184500,185600,186500,187300,188200,189000,189700,190500,191100,191700,192300,192700,193100,193400,193700,193900,194200,194500,194900,195300,195700,196200,196900,197600,198500,199300,200000,200800,201600,202400,203100,203700,204100,204300,204500,204800,205100,205400,205800,206200,206500,206600,206300,205600,204500,203200,201900,200700,199700,199000,198500,198100,197700,197400,197200,197000,196800,196600,196300,195900,195500,195400,195400,195500,195700,195800,195700,195700,196100,196400,196400,196200,196200,196100,195800,195400,195000,194300,193800,193600,193300,193100,193300,193300,193000,192700,192500,192300,192100,192200,192300,192100,192200,192400,192700,193100,193600,194000,194300,194400,194400,194800,195300,195800,196500,197100,197600,198700,199900,201000,201800,202800,203800,204900,205900,206800,207700,208800,210000,211100,212500,214400,216700,218800,220800,222800,224900,226900,228600,230300,232100,234100,236000,237800,239300,240600,242000,243100,244100,245300,246600,247900,249500,251300,252800,254000,255100,256100,256900,257700,258500,259300,260200,261300,262600,263600,264500,265400,266100,266800,267800,268600,269100,270500,272600,274300,275700,277100,277900,278400,279000,279700,280800,282300,284000,285300
43,"New York",3,125600,125200,124900,124700,124400,124300,124300,124300,124300,124400,124400,124300,124100,123900,123700,123600,123500,123600,123700,123900,124300,124700,125100,125400,125700,126000,126300,126700,127200,127700,128300,128900,129400,129900,130400,130800,131300,131800,132500,133200,133900,134500,135200,135900,136700,137600,138700,139800,140900,141900,142800,143500,143900,144300,144700,145100,145500,146000,146500,147100,147800,148500,149400,150300,151300,152400,153500,154600,155800,157100,158300,159600,160900,162200,163400,164600,165800,166900,168000,169100,170200,171200,172400,173600,174800,176000,177200,178500,179700,180800,182000,183300,184500,185800,187100,188500,190000,191600,193300,195100,197100,199100,201100,203100,205100,206900,208600,210200,211700,213100,214400,215700,216900,218100,219300,220300,221200,222000,222700,223300,224100,224900,225800,226700,227600,228400,229100,229700,230400,231100,231700,232300,232700,233000,233000,233000,232800,232500,232200,231900,231400,230800,230300,229800,229200,228500,227800,227200,226500,225800,225100,224400,223800,223400,223200,223000,222800,222300,221700,221300,221000,220900,220900,221000,221100,221400,221700,221600,220900,220600,220700,220500,219900,219000,218400,218000,217600,217200,216600,215900,215500,215400,215100,214800,214500,214300,214000,213600,213100,212600,211900,211500,211400,211300,211200,211200,211100,211200,211300,211500,212000,212300,212500,212900,213400,214000,214600,215100,215800,216500,217100,217500,218000,218400,219000,219600,220100,220400,220700,220900,221000,221200,221500,221700,221800,222100,222400,222600,223000,223300,223600,224000,224700,225400,226100,226700,227100,227500,228000,229000,230000,230700,231200,231900,232700,233300,234000,234700,235400,236100,237100,238200,239000,239800,240500,241700,243000,244200,245400,246800,247900,248800,249800,250600,251200,252200,253700,254900,255600,255900,256000,256000,256500,257300
14,"Florida",4,131500,131500,131600,131800,132000,132300,132700,133100,133500,133900,134300,134500,134800,135100,135500,135900,136200,136600,137000,137500,138000,138500,138900,139100,139200,139300,139500,139800,140300,141000,141800,142600,143400,144200,145000,145600,146200,146900,147600,148300,149100,149900,150800,151700,152800,154000,155200,156300,157300,158300,159300,160300,161400,162500,163700,164900,166400,167900,169300,170600,171900,173100,174200,175200,176100,177100,178100,179100,180100,181200,182200,183200,184300,185400,186600,187900,189300,190900,192500,194300,196100,197700,199300,201100,203100,205300,207700,210200,212700,215200,217800,220400,223100,225900,228800,232000,235500,239300,243300,247700,252300,257100,262000,266900,272100,277500,283100,289100,295800,302700,309800,317000,323800,330300,336300,342000,347400,352500,357200,361800,366300,369800,372300,373600,373800,373100,371900,370300,368600,367100,365100,363100,361100,358500,355000,351100,346700,341900,337000,331800,326600,321200,315400,309600,304100,298400,292400,286800,281500,276400,271500,266700,262100,257800,253200,248500,243900,238900,234200,230900,228800,227300,226200,225600,224500,224100,224900,224000,221000,219200,218800,217100,214800,212900,211300,209700,207900,206200,204600,203800,203400,203200,203000,202900,202900,202900,202800,203200,203700,204000,203900,204400,205300,206200,206900,207800,208600,209200,209800,210500,211500,212800,214200,216000,218100,220200,222400,224600,226900,229200,231200,233000,234900,236400,237900,239700,241700,243300,244800,246400,248100,249500,250400,251300,252200,253200,254100,255700,257600,259500,261200,263000,264600,266000,267500,269000,270500,272100,273600,275200,277000,279000,280800,282400,283900,285900,288600,291200,293200,295000,296500,298100,299800,301300,302500,303700,305000,306100,307300,308400,309700,311800,314700,317000,318800,320700,322500,323800,324900,325900,327100,328500,330300,331900
21,"Illinois",5,186400,187200,187800,187900,187700,187000,185900,184600,183400,182500,181400,180200,179000,177900,176800,175400,174000,172800,172100,172200,173400,175300,177500,179500,181800,184100,186500,189000,191600,194100,196500,198400,200100,201400,202100,202300,202500,202800,203200,204000,205000,206400,208100,209800,211900,214200,216300,218100,219900,221700,223500,225400,227300,229100,230800,232300,233900,235300,236500,237400,238400,239200,240200,241200,242300,243600,245000,246400,247900,249500,251200,252900,254600,256300,258000,259600,261100,262600,264000,265400,266700,268100,269500,271000,272500,274000,275400,277000,278500,280100,281700,283400,285300,287300,289400,291500,293800,296300,298900,301500,303900,306400,308900,311300,313700,316000,318100,320200,322500,324800,327200,329800,332400,335000,337600,339900,342000,343800,345300,346700,348200,349500,350400,351100,351800,352400,352900,353200,353600,353900,353900,353800,353600,353000,351900,350700,349300,348000,346600,345000,343200,340900,338100,335300,332400,329400,326200,322800,319400,316300,313700,311100,308500,306100,303500,300500,297200,293500,289800,286900,284700,283000,281800,281100,280200,280100,281100,280500,277900,276400,275600,273800,271600,269000,265900,263500,261500,259900,258500,257300,256000,254500,252800,251700,251100,250300,249000,247500,246600,245200,243100,242000,242500,243000,243800,244400,245000,245700,246700,247300,247700,248000,248400,249700,251700,253600,255600,257800,259600,261100,262500,263300,263700,264000,264300,264900,266300,268100,270000,271800,273000,273400,273200,273300,273500,274000,274700,275500,275600,275600,275600,275700,275700,276100,276900,277800,278400,278500,278900,279700,281000,282200,282800,283300,284300,285400,286400,287300,288100,288800,289400,290100,291000,291900,292700,293400,294000,294700,296100,297500,298500,300100,302200,303700,304500,305300,305400,305100,305100,305200,305700,306600,307500,308500
47,"Pennsylvania",6,148700,148300,148000,147900,148000,148400,148800,149500,150100,150700,151400,151900,152300,152700,153000,153200,153400,153600,153800,154000,154000,153800,153700,153500,153400,153400,153500,153800,154200,154800,155400,156000,156700,157400,158200,159000,159700,160400,161000,161500,161900,162100,162400,162700,163200,163800,164700,165700,166800,168100,169400,170600,171900,173100,174200,175300,176400,177600,178800,179800,180600,181300,182000,182600,183300,184100,185000,186000,187000,188300,189700,191000,192200,193500,194800,196100,197700,199400,201200,203100,205000,206500,207800,209200,210900,212700,214900,217200,219500,221700,223800,225800,227800,229800,231900,234000,236100,238300,240400,242600,244800,247000,249100,251300,253500,255700,257900,260300,262800,265300,267800,270200,272600,274800,276900,278900,280600,282200,283600,285000,286400,287700,288900,289900,290700,291300,291900,292300,292700,293200,293500,293700,294000,294000,293800,293500,293000,292400,291700,290900,290000,289100,288100,287100,286200,285100,283800,282700,281600,280600,279700,278900,278200,277600,277000,276400,275700,274600,273500,272600,272000,271600,271300,271300,271200,271300,271800,271600,270800,270500,270400,269500,268400,267400,266100,264600,263400,262400,261700,261000,260400,259900,259200,258300,257500,256600,255900,255700,255500,255100,254500,254400,254300,253900,253800,253900,254100,254600,255400,256000,256500,256800,257100,257500,258000,258500,259100,259800,260500,260900,261100,261500,262200,262700,262700,262900,263600,264300,265100,266000,266800,267300,267900,268300,268600,268700,268900,269200,269700,270500,271300,272100,272700,273300,274000,274400,274500,275200,276200,276800,277400,278000,278500,279300,280300,281000,281500,282300,283000,283800,284600,285600,286900,288200,289200,290300,291600,292900,294000,294900,295500,296600,298300,299900,301200,302500,303600,304500,305100,305500,306200,307200,308300,309100
44,"Ohio",7,128200,128400,128800,129300,130000,130700,131400,131900,132300,132600,132900,133300,133800,134400,135000,135800,136600,137400,138100,138900,139600,140100,140700,141100,141500,142000,142500,143200,144100,144900,145700,146400,146700,146900,147000,147000,147100,147500,148000,148600,149300,149900,150600,151400,152200,153000,153900,154800,155500,156100,156500,156900,157400,157800,158300,158900,159500,160200,161000,161700,162400,162900,163300,163700,164000,164300,164800,165200,165700,166200,166900,167600,168200,168900,169500,170100,170700,171200,171800,172400,173100,173700,174200,174700,175300,175800,176300,177000,177600,178300,179100,179800,180400,181000,181500,182000,182500,183100,183700,184300,184900,185500,186000,186500,187000,187400,187700,188000,188400,188900,189500,190100,190600,191000,191500,191900,192300,192800,193200,193600,194000,194300,194500,194600,194600,194500,194300,194200,194100,194000,194000,193900,193500,192900,192200,191500,190600,189900,189100,188300,187600,186900,186200,185600,185000,184500,183800,183100,182300,181700,181000,180500,180000,179600,179300,179000,178600,178100,177500,177000,176600,176300,176200,176100,175900,176000,176300,176300,176300,176500,176500,176300,176100,175700,175100,174600,174100,173400,172300,171400,170700,170000,169500,169400,169400,169400,169500,169500,169700,169900,170000,170500,171100,171500,171700,172100,172400,172500,172600,172900,173300,173600,174100,174700,175300,175700,176400,177300,178100,178700,179500,180200,180600,181100,181700,182100,182400,182900,183400,183900,184200,184500,185000,185500,185800,186200,186700,187200,187900,188600,189300,190200,191300,192200,192800,193200,193800,194600,195400,196200,197300,198600,199800,200600,201500,202400,203300,204200,205200,206100,207200,208700,210300,211600,212900,213800,214500,215200,216200,217200,218100,219200,220500,221500,222500,224000,225200,226200,227400,228600,229900,231200,232700,234100
30,"Michigan",8,162100,162600,163200,163900,164800,166000,167300,168600,169900,171100,172100,172900,173800,174600,175700,176800,178000,179300,180300,181100,181800,182300,182800,183400,184000,184800,185700,186500,187300,188100,188800,189500,190200,191000,191800,192600,193500,194700,196200,197900,199600,201300,203000,204700,206400,208300,210100,212000,214000,216100,218200,220200,221900,223400,224600,225700,226600,227300,227700,227900,228000,228000,227900,227900,227900,228000,228300,228800,229700,230900,232300,233600,234900,236000,236800,237500,238100,238800,239500,240200,241000,241600,242000,242500,243000,243400,243800,244300,244900,245600,246400,247200,247800,248500,249200,250000,250800,251700,252700,253600,254500,255500,256600,257700,258900,260000,261100,262200,263200,264100,264800,265500,266000,266400,266700,266800,266900,266800,266700,266500,266300,265800,265200,264400,263400,262200,260900,259500,258100,256600,255200,253900,252700,251400,250000,248500,246600,244500,242200,239900,237500,235200,232700,230300,227600,224800,221900,219100,216600,214200,211800,209600,207500,205400,203400,201600,199500,197100,194800,192700,190800,189200,187900,187000,186300,186100,186500,186500,185900,185700,185700,185400,185200,185100,184500,183900,183400,182700,181900,181300,181000,180500,180100,180000,180500,181100,182100,183000,184100,185000,185800,186600,188100,190100,191900,193200,194100,195600,197900,200200,202000,203800,205600,207200,209400,211700,214100,217100,220500,223200,225300,226900,228400,229900,231100,232300,233800,235700,237800,239800,241400,242400,243100,243900,245100,246600,248000,249100,249600,250200,251100,252200,253100,253900,254900,256000,257000,257700,258600,260200,261600,262900,264500,266400,267900,269100,270200,271500,272900,273900,275200,277700,280300,282100,283300,284000,284200,284600,285300,286200,286600,288000,290200,291900,293300,295500,297900,299600,300900,301500,301800,302300,303300,304700
16,"Georgia",9,147600,148200,148600,149000,149400,149700,150100,150400,150700,151100,151400,151700,152200,152900,153600,154400,155100,155800,156400,156900,157400,157900,158300,158700,159100,159500,160000,160700,161400,162100,163000,163900,165100,166300,167400,168500,169600,170600,171600,172600,173600,174500,175500,176500,177500,178500,179600,180600,181600,182600,183600,184600,185600,186500,187500,188400,189400,190300,191200,192000,192600,193200,193700,194300,194800,195500,196200,196900,197700,198300,199000,199500,200000,200500,201000,201500,202100,202600,203300,204100,204900,205800,206600,207200,207700,208100,208500,209000,209500,210100,210800,211400,211900,212500,213100,213800,214600,215500,216600,217800,218900,220000,221000,221900,222800,223700,224600,225500,226700,227900,229100,230300,231400,232600,233800,234900,236100,237300,238400,239700,241000,242300,243500,244800,246000,247100,248100,248900,249700,250500,251100,251800,252500,252900,253000,252900,252700,252300,251700,250900,250000,248900,247600,246300,245100,243500,241600,239600,237500,235500,233600,231700,229900,228100,226300,224300,222200,219800,217400,215500,214200,213300,212500,211700,211000,210700,211100,210200,208100,207000,206700,205600,204000,202000,200000,198600,197000,195100,193000,191400,190300,188900,187600,186400,185200,183900,182800,181600,180700,180000,179200,178900,179400,180000,180500,181200,182100,183400,184700,186000,187200,188300,189700,191200,192800,194600,196400,198200,199800,201400,202900,204500,206100,207500,209100,211400,213400,214900,216400,218000,219400,220400,221000,221800,222700,223200,223700,224600,225600,226500,227200,227700,228300,228800,229100,229700,230600,231700,232800,234100,235600,237100,238500,240400,242300,243900,245300,246300,247200,248500,249600,250600,251800,253000,253800,254400,255400,257000,258400,259600,261000,263300,266000,267900,269000,270600,272200,273200,273700,275100,277800,280500,282400,283700
36,"North Carolina",10,149000,149200,149400,149900,150400,151200,152100,153300,154600,156100,157600,158900,160000,160700,161100,161200,161000,160600,159900,158600,156800,154600,152400,150600,149400,149000,149400,150400,151900,153600,155300,156800,158000,158900,159700,160500,161500,162600,163700,164900,165800,166700,167500,168200,168800,169500,170100,170700,171200,171800,172400,173200,174000,174900,175600,176400,177200,178000,178800,179400,179700,179800,179800,179800,179900,180100,180500,181100,181900,183000,184300,185600,186700,187600,188100,188500,188700,188800,189000,189400,190000,190400,190800,191500,192300,193200,194100,195100,196100,197100,198200,199200,200200,201000,201800,202600,203500,204600,205800,207100,208400,209700,211100,212200,213000,213500,214000,214500,215500,217000,218800,221000,223300,225600,227800,229800,231800,233600,235400,237200,238900,240500,242100,243600,245100,246600,248000,249300,250700,252100,253300,254500,255500,256200,256700,257200,257700,258100,258400,258500,258700,258900,259000,259100,259000,258400,257400,256100,254600,253100,251700,250500,249600,249000,248600,248200,247700,246600,245000,243400,241800,240600,239500,238600,238000,237800,238400,238300,237100,236200,235900,235400,234600,233600,232800,231900,230700,229500,228200,226900,226200,225700,225000,224400,223700,223200,222800,222800,222900,222700,222400,222400,222700,223100,223600,224500,225000,225500,225700,226000,226300,226800,227200,227600,228300,229400,230400,231200,232200,233100,233900,234600,235300,235700,236100,236600,237300,237900,238300,238500,238700,239000,239400,239900,240400,241100,242000,242800,243600,244000,244500,245300,246400,247300,248000,248500,249300,250100,250900,252100,253700,255300,256500,257600,258900,260000,261100,262300,263600,264600,266000,267700,269300,270500,271400,272300,273200,274000,274800,275700,276500,277800,279700,281500,282500,283400,284500,285700,286700,288200,290100,291900,293400,294500
