"state","location","binge_both_sexes_2007"
"Colorado","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",17.8
"Colorado","Alamosa County",15.4
"Colorado","Arapahoe County",17.9
"Colorado","Archuleta County",20.3
"Colorado","Baca County",15
"Colorado","Bent County",17
"Colorado","Chaffee County",18.1
"Colorado","Cheyenne County",19.3
"Colorado","Clear Creek County",22.8
"Colorado","Colorado",18.3
"Colorado","Conejos County",12.3
"Colorado","Costilla County",16.6
"Colorado","Crowley County",15.5
"Colorado","Custer County",19
"Colorado","Delta County",18.6
"Colorado","Denver County",22.1
"Colorado","Dolores County",20.8
"Colorado","Douglas County",16
"Colorado","Eagle County",23.2
"Colorado","El Paso County",15.1
"Colorado","Elbert County",16.1
"Colorado","Fremont County",16.2
"Colorado","Garfield County",21.8
"Colorado","Gilpin County",22
"Colorado","Grand County",23.1
"Colorado","Gunnison County",24.3
"Colorado","Hinsdale County",25.8
"Colorado","Huerfano County",19.7
"Colorado","Jackson County",22.2
"Colorado","Kiowa County",9.4
"Colorado","Kit Carson County",15.2
"Colorado","La Plata County",20.5
"Colorado","Lake County",24.4
"Colorado","Larimer County",18.7
"Colorado","Las Animas County",18.3
"Colorado","Lincoln County",14.8
"Colorado","Logan County",17.4
"Colorado","Mesa County",18
"Colorado","Mineral County",17.9
"Colorado","Moffat County",21.4
"Colorado","Montezuma County",17.7
"Colorado","Montrose County",18.8
"Colorado","Morgan County",16.5
"Colorado","Otero County",16.8
"Colorado","Ouray County",21.7
"Colorado","Park County",20.2
"Colorado","Phillips County",15.2
"Colorado","Pitkin County",24.6
"Colorado","Prowers County",16.7
"Colorado","Pueblo County",17.1
"Colorado","Rio Blanco County",20.2
"Colorado","Rio Grande County",18.2
"Colorado","Routt County",22.9
"Colorado","Saguache County",17.4
"Colorado","San Juan County",27.1
"Colorado","San Miguel County",25.6
"Colorado","Sedgwick County",16.3
"Colorado","Summit County",25.2
"Colorado","Teller County",18.5
"Colorado","Washington County",17.3
"Colorado","Yuma County",17.3
