"state","location","both_sexes_2012"
"Alabama","Baldwin County",16.9
"Alaska","Aleutians East Borough",27.6
"Arizona","La Paz County",22.7
"Arkansas","Conway County",19.2
"California","San Francisco County",24
"Colorado","Hinsdale County",31.9
"Connecticut","Litchfield County",21.6
"Delaware","New Castle County",20.9
"Delaware","Sussex County",20.9
"District Of Columbia","District Of Columbia",22
"Florida","Monroe County",25
"Georgia","Chatham County",18.4
"Hawaii","Kalawao County, Maui County",22.6
"Idaho","Shoshone County",29.2
"Illinois","Calhoun County",32.6
"Indiana","Dubois County",24.6
"Iowa","Dubuque County",32.3
"Kansas","Rawlins County",24
"Kentucky","Campbell County",27.3
"Louisiana","Pointe Coupee Parish",23
"Louisiana","St. James Parish",23
"Maine","York County",22.1
"Maryland","Queen Anne's County",24
"Massachusetts","Nantucket County",24.1
"Michigan","Ontonagon County",33.3
"Minnesota","Morrison County",30.6
"Mississippi","Harrison County",18.5
"Missouri","Osage County",24.4
"Montana","Toole County",33.2
"Nebraska","Nance County",35.2
"Nevada","Esmeralda County",33.8
"New Hampshire","Rockingham County",22.4
"New Jersey","Monmouth County",22.6
"New Mexico","Grant County",20.1
"New York","New York County",23
"North Carolina","Dare County",20.1
"North Dakota","Renville County",34.2
"Ohio","Mercer County",27.1
"Oklahoma","McIntosh County",18
"Oklahoma","Woods County",18
"Oregon","Gilliam County",23.6
"Pennsylvania","Elk County",28.1
"Rhode Island","Bristol County",23.2
"South Carolina","Charleston County",23.6
"South Dakota","Sanborn County",32.8
"Tennessee","Davidson County",16.3
"Texas","Loving County",35.5
"Utah","Summit County",18
"Vermont","Lamoille County",23.4
"Virginia","Falls Church City",25.6
"Washington","San Juan County",21.4
"West Virginia","Ohio County",16
"Wisconsin","Menominee County",36
"Wyoming","Crook County",27.2
