"state","location","both_sexes_2012"
"Alabama","Lawrence County",8.6
"Alaska","Northwest Arctic Borough",14.6
"Arizona","Graham County",14.9
"Arizona","Navajo County",14.9
"Arkansas","Bradley County",12.1
"California","Imperial County",15
"Colorado","Kiowa County",9.2
"Connecticut","New Haven County",18.2
"Delaware","Kent County",17.5
"District Of Columbia","District Of Columbia",22
"Florida","Liberty County",12.1
"Georgia","Warren County",10.4
"Hawaii","Kauai County",19.7
"Idaho","Madison County",5.9
"Illinois","Pulaski County",14.7
"Indiana","LaGrange County",14.1
"Iowa","Davis County",20.4
"Kansas","Cowley County",14.2
"Kentucky","Metcalfe County",8.5
"Louisiana","Richland Parish",11.5
"Maine","Knox County",18.2
"Maryland","Prince George's County",14.8
"Massachusetts","Bristol County",20.5
"Massachusetts","Plymouth County",20.5
"Michigan","Berrien County",18.5
"Minnesota","Kandiyohi County",19.7
"Mississippi","Benton County",9
"Missouri","Pemiscot County",13.5
"Montana","Wibaux County",18.2
"Nebraska","Gosper County",16.3
"Nevada","Lincoln County",16.2
"New Hampshire","Hillsborough County",18.7
"New Jersey","Cumberland County",16
"New Mexico","De Baca County",12.4
"New Mexico","Los Alamos County",12.4
"New York","Bronx County",16.1
"North Carolina","Bertie County",10.8
"North Carolina","Wilkes County",10.8
"North Dakota","Slope County",20.9
"Ohio","Holmes County",13.7
"Oklahoma","Choctaw County",11
"Oregon","Malheur County",15.1
"Pennsylvania","Lancaster County",14.6
"Rhode Island","Providence County",19.4
"South Carolina","Dillon County",11.9
"South Dakota","Douglas County",17.4
"Tennessee","Hancock County",7.1
"Texas","Collingsworth County",10.8
"Utah","Utah County",6.5
"Vermont","Orange County",19.4
"Virginia","Lee County",9.1
"Washington","Franklin County",14.7
"West Virginia","McDowell County",9
"Wisconsin","Milwaukee County",23.2
"Wyoming","Uinta County",14.4
